id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16,out_type_17,out_label_17,out_tit_17,out_type_18,out_label_18,out_tit_18,out_type_19,out_label_19,out_tit_19,out_type_20,out_label_20,out_tit_20
38224049,Fuchs (2003),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Overall Mathematics  - MSR-all groups,['Other outcome'],Secondary outcome(s),Researcher-designed test on Mathematics - MSR - HA,['Other outcome'],Secondary outcome(s),Researcher-designed test on Mathematics - MSR - AA,['Other outcome'],Secondary outcome(s),Researcher-designed test on Mathematics - MSR - LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224050,Gallini (1993),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Passage 1,['Other outcome'],Primary outcome,Passage 2,['Other outcome'],Primary outcome,Passage 4,['Other outcome'],Primary outcome,Passage 5,['Other outcome'],Primary outcome,Passage 6,['Other outcome'],Primary outcome,Passage 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224150,Gambrell (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT-Reading Comprehension (Means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223989,García-Sánchez (2006) 1_1,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Productivity-SSRD vs SC (Primary),['Other outcome'],Secondary outcome(s),Total Coherece-SRSD vs SC (Primary),['Other outcome'],Secondary outcome(s),Total Structure-SRSD vs SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294905,García-Sánchez (2006) 1_2,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Productivity (Primary) ,['Other outcome'],Primary outcome,Coherence (Primary) Means/SDs,NA,Primary outcome,Total Structure (Primary) Means/SDs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223861,Germann (1989),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,TIPS (adjusted postest),['Other outcome'],Secondary outcome(s),PBIT (post-test adjusted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223990,Glaser (2007),['Other outcome'],Primary outcome,Strategy-related text revisions,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Strategy-related planning,['Other outcome'],Secondary outcome(s),Strategy-related knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223949,Golden (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,QAR2 (posttest means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296614,Gorard (2015),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Cognitive Abilities Test 4 (CAT4)  ,['Other outcome'],SES/FSM outcome,FSM Only - Cognitive Abilities Test 4 (CAT4) ,['Reading primary outcome'],Secondary outcome(s),KS1 to KS2 Reading Progress,['Writing and spelling primary outcome.'],Secondary outcome(s),KS1 to KS2 Writing Progress,['Mathematics primary outcome'],Secondary outcome(s),KS1 to KS2 Maths Progress,['Other outcome'],SES/FSM outcome,FSM Only - KS2 Writing Results for Year 5 pupils ,['Other outcome'],SES/FSM outcome,FSM Only - KS2 Maths Results for Year 5 pupils,['Other outcome'],SES/FSM outcome,FSM Only - KS2 Reading Results for Year 5 pupils,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223950,Gordon (1980),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Story Comprehension (Grp 1 vs 3 f-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
