id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
46888096,Llorens (2016) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Students comprehension Scores ,['Other outcome'],Secondary outcome(s),Transfer test performance score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106830,Llorens (2016) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,On-line processing performance scores,['Other outcome'],Secondary outcome(s),Transfer test performance score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106831,Llorens (2016) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,On-line processing performance measure,['Other outcome'],Secondary outcome(s),Transfer performance measure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106832,Llorens (2016) 1_4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,On-line processing performance score,['Other outcome'],Secondary outcome(s),Transfer performance score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092587,Lumbelli (1999),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,VERB Writing Ability Test,['Reading primary outcome'],Secondary outcome(s),VERB Revision Ability Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092588,MacArthur (1991),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,VERB Quality of Final Drafts ,['Other outcome'],Secondary outcome(s),VERB Spelling Errors in Final Drafts,['Other outcome'],Secondary outcome(s),VERB Total Revisions in Final Drafts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092684,McClintock (1975),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SCORE Associate memory task,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294926,Merrett (1996) FB,['Other outcome'],Secondary outcome(s),VERB Macmillan Group Reading Test,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,VERB Macmillan Group Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092589,Meyer (2010),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,DIG WRIT CAT-4,['Other outcome'],Secondary outcome(s),DIG WRIT CAT-4 (Ideas),['Other outcome'],Secondary outcome(s),DIG WRIT CAT-4 (Support),['Other outcome'],Secondary outcome(s),DIG WRIT CAT-4 (Content),['Other outcome'],Secondary outcome(s),DIG WRIT CAT-4 (Content Management),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091036,Mirkin (1979),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TEACH Stanford Diagnostic Reading Test,['Other outcome'],Secondary outcome(s),TEACH Oral Reading Correct,['Other outcome'],Secondary outcome(s),TEACH Oral Reading Incorrect,['Other outcome'],Secondary outcome(s),TEACH Vocabulary Meaning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061123,Moore (1961) 1_1,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,CORR/INCORR G6 English spelling (MSAT) - feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294931,Moore (1961) 1_2,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,DIG G6 English spelling - Feedback - post-test,['Other outcome'],Secondary outcome(s),DIG G6 English spelling - Feedback - post-test and weekly tests (combined),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46888304,Mostow (2013),['Other outcome'],Secondary outcome(s),WRMT Reading Comprehension (Gain Score),['Other outcome'],Secondary outcome(s),WRMT Reading Comprehension (Post test),['Other outcome'],Secondary outcome(s),Total Reading (Gain score),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Total Reading (Post test),['Other outcome'],Secondary outcome(s),Spelling (Gain Score),['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling (post test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
