id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
45336795,Tenenbaum (1982) II 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Summative Science Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106843,Tenenbaum (1982) II 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Level of achievement (algebra),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661095,Thomas (1972),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661392,Thornton (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661394,Troost (1971),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661177,Verheul (1971),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehensive Test of Basic Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661035,Volker (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661400,Waine (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Chemistry Posttest,['Other outcome'],Secondary outcome(s),Nelson Biology Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661282,Walles (2005),['Other outcome'],Primary outcome,SAT Math exams (Geometry)- Composite Score,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,SAT Math Score (Algebra)-Composite Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661179,Wasden (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT Wording Meaning f ratio,['Other outcome'],Secondary outcome(s),SAT paragraph meaning f ratio,['Other outcome'],Secondary outcome(s),SAT language f ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661097,Wheaton (1971),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths Comprehension ,['Other outcome'],Secondary outcome(s),Maths Concept,['Reading primary outcome'],Secondary outcome(s),Paragraph meaning,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling,['Science primary outcome'],Secondary outcome(s),Science Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661252,Wheeler (1999),['Other outcome'],Primary outcome,Concrete Test,['Other outcome'],Primary outcome,Abstract Test,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Overall ES - Concrete & Abstract Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661181,Whipple (1972),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Written test ,['Other outcome'],Primary outcome,Models test,['Other outcome'],Secondary outcome(s),Geometry (A),['Other outcome'],Secondary outcome(s),Geometry (B),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661253,Wijekumar (2012),['Other outcome'],Primary outcome,GSRT-class level means- Indiv. Instr ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"GSRT: individ. level N, class level mean/SD - Ind. Instr.",['Other outcome'],Secondary outcome(s),Signaling-Ind.Instr,['Other outcome'],Secondary outcome(s),Probl Sol. total recll - Ind.Instr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661409,Williams (1969),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Comprehensive Test in Basic Physical Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661045,Wilton (1971),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Recall Biology Test 1  posttest immediately following tuition,['Other outcome'],Secondary outcome(s),Recall Biology test 1  2 weeks after tuition postest,['Other outcome'],Primary outcome,Recall Biology test 2  2 weeks after tuition postest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661412,Young (1967),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Biology Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661413,Zeschke (1966),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,DNA Program post-t-est,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
