n_treat_ht,n_treat_info,Intervention_Group_Pre-test_Mean_HT,Intervention_Group_Pre-test_Mean_comments,Intervention_Group_Pre-test_SD_HT,Intervention_Group_Pre-test_SD_comments,Intervention_Group_Post-test_Mean_HT,Intervention_Group_Post-test_Mean_comments,Intervention_Group_Post-test_SD_HT,Intervention_Group_Post-test_SD_comments,Intervention_Group_Gain_Score_Mean_HT,Intervention_Group_Gain_Score_Mean_comments,Intervention_Group_Gain_Score_SD_HT,Intervention_Group_Gain_Score_SD_comments,Intervention_Group_Other_Info_HT,Intervention_Group_Other_Info_comments
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,19,"['Page 15:\n[¬s]""230.30[¬e]""']",230.30,"['Page 15:\n[¬s]""(63.25)[¬e]""']",63.25,"['Page 15:\n[¬s]""265.05[¬e]""']",265.05,"['Page 15:\n[¬s]""66.72)[¬e]""']",66.72,"['Page 15:\n[¬s]""34.75[¬e]""']",34.75,"['Page 15:\n[¬s]""(12.91)[¬e]""']",12.91,NA,NA
NA,20,"['Page 16:\n[¬s]""38.90[¬e]""']",38.90,"['Page 16:\n[¬s]""16.56[¬e]""']",16.56,"['Page 16:\n[¬s]""56.20[¬e]""']",56.20,"['Page 16:\n[¬s]""21.77[¬e]""']",21.77,"['Page 16:\n[¬s]""17.30[¬e]""']",17.30,"['Page 16:\n[¬s]""10.66[¬e]""']",10.66,NA,NA
"['Page 63:\n[¬s]""80[¬e]""']",80,NA,NA,NA,NA,"['Page 60:\n[¬s]""27.82[¬e]""']",27.825,"['Page 63:\n[¬s]""5.0435[¬e]""']",5.0435,NA,NA,NA,NA,NA,NA
NA,15,NA,NA,NA,NA,"['Page 6:\n[¬s]""13.93[¬e]""']",13.93,"['Page 6:\n[¬s]""2.76[¬e]""']",2.76,NA,NA,NA,NA,NA,NA
NA,100,NA,35.24,"['Page 4:\n[¬s]""8.24[¬e]""']",8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.57,NA,3.276,NA,NA
"['Page 4:\n[¬s]""Table 2.-[¬e]""']",26,NA,NA,NA,NA,"['Page 5:\n[¬s]""Table 4.-[¬e]""']","50.239
","['Page 5:\n[¬s]""Table 4.-[¬e]""']","4.944
","['Page 4:\n[¬s]""Table 2.-[¬e]""']","6.296
","['Page 4:\n[¬s]""Table 2.-[¬e]""']","2.876
",NA,NA
"['Page 302:\n[¬s]""97[¬e]""']",97,"['Page 302:\n[¬s]""2.45[¬e]""']",2.45,"['Page 302:\n[¬s]"".42[¬e]""']",0.42,"['Page 302:\n[¬s]""3.22[¬e]""']",3.22,"['Page 302:\n[¬s]"".37[¬e]""']",0.37,NA,NA,NA,NA,NA,NA
NA,389,NA,8.82,NA,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,24,NA,1.51,NA,0.58,NA,2.86,NA,0.64,NA,NA,NA,NA,NA,NA
NA,33,"['Page 12:\n[¬s]""4.6[¬e]""']",4.687,"['Page 12:\n[¬s]""16[¬e]""']",1.616,"['Page 12:\n[¬s]""6.2[¬e]""']",6.254,"['Page 12:\n[¬s]""18[¬e]""']",2.018,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,82,"['Page 8:\n[¬s]""73.56 and 22.10 for the experimental group[¬e]""']",73.56,NA,22.10,"['Page 10:\n[¬s]""40.35[¬e]""']",40.35,"['Page 10:\n[¬s]""6.47[¬e]""']",6.47,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 6:\n[¬s]""34[¬e]""']",34,NA,NA,NA,NA,"['Page 6:\n[¬s]""13.50[¬e]""']",13.5,"['Page 6:\n[¬s]""2.85[¬e]""']",2.85,NA,NA,NA,NA,NA,NA
NA,35,NA,NA,NA,NA,NA,9.85,NA,3.1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 80:\n[¬s]"" (n = 43) served as the treatment group[¬e]""']",43,NA,NA,NA,NA,"['Page 110:\n[¬s]""83.33[¬e]""']",83.33,"['Page 110:\n[¬s]""7.86[¬e]""']",7.86,NA,NA,NA,NA,NA,NA
NA,947,NA,55.63,NA,NA,NA,51.70,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""groups of 15[¬e]""']",15,"['Page 4:\n[¬s]""18.53[¬e]""']",18.53,"['Page 4:\n[¬s]""3.81[¬e]""']",3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,776,NA,3.788,NA,0.817,NA,4.115,NA,0.807,NA,NA,NA,NA,NA,NA
"['Page 15:\n[¬s]""Group feedback (n = 32)[¬e]""']",32,"['Page 14:\n[¬s]""83.30[¬e]""']",83.30,"['Page 14:\n[¬s]""16.80[¬e]""']",16.80,"['Page 17:\n[¬s]""89.17[¬e]""']",89.17,"['Page 17:\n[¬s]""14.30[¬e]""']",14.30,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 11:\n[¬s]""conText (N = 59)[¬e]""']",59,"['Page 11:\n[¬s]""23.1[¬e]""']",23.1,"['Page 11:\n[¬s]""(5.5)[¬e]""']",5.5,"['Page 11:\n[¬s]""26.3[¬e]""']",26.3,"['Page 11:\n[¬s]""(4.6)[¬e]""']",4.6,"['Page 11:\n[¬s]""3.1[¬e]""']",3.1,"['Page 11:\n[¬s]""(4.9[¬e]""']",4.9,NA,NA
NA,34,"['Page 7:\n[¬s]""M= 12.82[¬e]""']",12.82,"['Page 7:\n[¬s]""M= 12.82[¬e]""', 'Page 7:\n[¬s]""sd = 3.6[¬e]""']",3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,30,"['Page 7:\n[¬s]""M= 12.57[¬e]""']",12.57,"['Page 7:\n[¬s]""sd = 3.57[¬e]""']",3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,14,NA,3.59,NA,1.16,NA,5,NA,1.75,NA,NA,NA,NA,NA,NA
NA,13,NA,2.77,NA,1.18,NA,4.27,NA,1.25,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 11:\n[¬s]""6[¬e]""']",6,"['Page 11:\n[¬s]""86.7[¬e]""']",86.7,"['Page 11:\n[¬s]""5.58[¬e]""']",5.58,"['Page 11:\n[¬s]""95.8[¬e]""']",95.8,"['Page 11:\n[¬s]""6.5[¬e]""']",NA,NA,NA,NA,NA,NA,NA
NA,121,NA,1.78,NA,0.750,NA,2.11,NA,0.668,NA,0.33,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""33[¬e]""']",33,NA,NA,NA,NA,"['Page 3:\n[¬s]""2.48[¬e]""']",2.48,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""14[¬e]""']",14,NA,NA,NA,NA,"['Page 5:\n[¬s]""41.286[¬e]""']",41.286,NA,NA,NA,NA,NA,NA,NA,NA
NA,88,"['Page 10:\n[¬s]""464.26[¬e]""']",464.26,"['Page 10:\n[¬s]""(23.56)[¬e]""']",23.56,"['Page 10:\n[¬s]""482.22[¬e]""']",482.22,"['Page 10:\n[¬s]""(14.86)[¬e]""']",14.86,"['Page 10:\n[¬s]""17.96[¬e]""']",17.96,"['Page 10:\n[¬s]""(12.26)[¬e]""']",12.26,NA,NA
"['Page 4:\n[¬s]""f 1[¬e]""']",15,"['Page 8:\n[¬s]""15.[¬e]""']",15.93,"['Page 8:\n[¬s]""12[¬e]""']",12.89,"['Page 8:\n[¬s]"" 3.[¬e]""']",3.93,"['Page 8:\n[¬s]"" 2.[¬e]""']",2.82,"['Page 8:\n[¬s]""-12[¬e]""']",-12,"['Page 8:\n[¬s]"" 12.[¬e]""']",12.42,NA,NA
"['Page 4:\n[¬s]""f 1[¬e]""']",15,"['Page 8:\n[¬s]""13[¬e]""']",13,"['Page 8:\n[¬s]"" 10.6[¬e]""']",10.68,"['Page 8:\n[¬s]"" 2.[¬e]""']",2.27,"['Page 8:\n[¬s]"" 2.[¬e]""']",2.69,"['Page 8:\n[¬s]""-10.[¬e]""']",-10.73,"['Page 8:\n[¬s]""8.[¬e]""']",8.86,NA,NA
NA,25,NA,98.78,NA,26.81,NA,106.83,NA,19.09,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
