id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
41817001,Duatepe (2004),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,POSTAPA,['Other outcome'],Secondary outcome(s),POSTCCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817023,DuPont (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MAT6 - Arts Participation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817011,Fernsler (2003),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Social Studies Test  - Arts Participation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817046,Fischer (1989),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Critical Thinking (non-gifted groups),['Other outcome'],Secondary outcome(s),Creative Thinking (non-gifted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817026,Fizzano (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MAT -Arts-drama groups,['Other outcome'],Secondary outcome(s),Story retelling-arts-drama,['Other outcome'],Secondary outcome(s),Story rewriting-arts-drama,['Other outcome'],Secondary outcome(s),Probed recall-arts-drama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817020,Fleming (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading -Arts: drame,['Mathematics primary outcome'],Secondary outcome(s),Maths _Arts: drama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817126,Gromko (1998),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Cognitive Performance (IQ Raw),['Other outcome'],Secondary outcome(s),Cognitive Performance (IQ Scaled),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817124,Gromko (2005),['Other outcome'],Secondary outcome(s),Letter-Naming Fluency ,['Other outcome'],Secondary outcome(s),Phoneme-Segmentation Fluency ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Nonsense-Word Fluency ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817121,Hanson (2003),['Toolkit primary outcome'],Primary outcome,Object Assembly (music vs control),['Other outcome'],Secondary outcome(s),Visual Closure,['Other outcome'],Primary outcome,Absurdities Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817029,Hendrix (2011),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,FOSS - arts-drama (4th & 5th Grade combined),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
