ItemID,Author,SMD_1,SESMD_1,SMD_2,SESMD_2,SMD_3,SESMD_3,SMD_4,SESMD_4,SMD_5,SESMD_5,SMD_6,SESMD_6,SMD_7,SESMD_7,SMD_8,SESMD_8,SMD_9,SESMD_9,SMD_10,SESMD_10
37671546,Clarke (2017),-0.2308,-0.2308,0.4545,0.4545,0.0665,0.0665,0.226,0.226,0.0855,0.0855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253281,Cleary (2001),0.9813,0.9813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092576,Coe (2011),0.11,0.11,0.07,0.07,0.117,0.117,0.132,0.132,0.144,0.144,0.112,0.112,0.054,0.054,NA,NA,NA,NA,NA,NA
37671598,Cole (2009),1.4227,1.4227,0.411,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117120,Consolie (1999),1.027,1.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090135,Cooper (2016) PT,0.0836,0.0836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671620,Cooper (2016) TA,0.0241,0.0241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117121,Costa (1987),0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093542,Craker (1981),0.3321,0.3321,0.5374,0.5374,0.0722,0.0722,0.4057,0.4057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091026,Crutcher (1975),0.8734,0.8734,0.8215,0.8215,0.8215,0.8215,0.8734,0.8734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253200,Culp (1973),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
39253314,D'Agostino (1995),-0.1222,-0.1222,-0.1281,-0.1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093543,Davenport (1999),0.4624,0.4624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253203,David (1974) 1_1,0.3923,0.3923,-0.0344,-0.0344,-0.1053,-0.1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090138,David (1974) 1_2,-0.2723,-0.2723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117246,DeCicca (2007),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
40117123,DeLaro (1994),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
37093616,Dion (2011),0.3624,0.3624,0.3624,0.3624,0.2777,0.2777,0.2819,0.2819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671548,Dockrell (2015),0.4,0.4,0.17,0.17,0.26,0.26,0.2,0.2,0.5,0.5,0.06,0.06,0.1,0.1,NA,NA,NA,NA,NA,NA
43090143,Dorval (1978) TA,1.1638,1.1638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091027,Dubrule (1984),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
37093544,Duff (1974),0.7486,0.7486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671600,Duff (2014),0.0886,0.0886,0.0229,0.0229,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117126,Dunn (1996),0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253282,Durand (2002),0.0547,0.0547,-0.0277,-0.0277,0.0113,0.0113,-0.0463,-0.0463,0.0642,0.0642,-0.0764,-0.0764,NA,NA,NA,NA,NA,NA,NA,NA
39253283,Dwight (2010),0.4945,0.4945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117194,Dynarski (2004),0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133886,Early (1998),0.7208,0.7208,1.0479,1.0479,0.5282,0.5282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092761,Eggen (1978),0.6851,0.6851,0.3952,0.3952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294902,Ehlinger (1988) FB,-0.0093,-0.0093,0.2369,0.2369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878251,Ehri (2007) SGT,0.1764,0.1764,0.2253,0.2253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253253,Ellers (2009),-0.1981,-0.1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061114,Elliot (1986),0.0219,0.0219,0.3761,0.3761,0.0192,0.0192,0.2926,0.2926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117128,Elsberry (1992),0.5468,0.5468,0.2001,0.2001,0.1558,0.1558,0.1554,0.1554,0.7437,0.7437,0.7374,0.7374,NA,NA,NA,NA,NA,NA,NA,NA
37093353,Erickson (1972),-0.1592,-0.1592,0.3986,0.3986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117129,Espinosa (2000),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
37093472,Fantuzzo (1992),1.5376,1.5376,0.1665,0.1665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093471,Fantuzzo (1995),0.342,0.342,0.3467,0.3467,0.7332,0.7332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878265,Fien (2011),0.5644,0.5644,-0.0452,-0.0452,0.6593,0.6593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117274,Finch (1997),0.0958,0.0958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093506,Fisher (2001),2.5755,2.5755,3.0744,3.0744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092577,Fitzgerald (1987),0.7,0.7,0.8871,0.8871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133895,Fitz-Gibbon (1990),0.2506,0.2506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253205,Fonzi (1984),-0.3837,-0.3837,-0.0414,-0.0414,-0.3757,-0.3757,-0.0557,-0.0557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092578,Franzke (2005),0.11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
