id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
45336757,Koukeyan (1976) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,HIGH_CTBS Grade 5 Computation Posttest,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 5 Concept Posttest,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 5 Application Posttest,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 5 Computation Gain,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 5 Concept Gain,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 5 Application Gain,NA,NA,NA,NA,NA,NA
45336756,Koukeyan (1976) 1_3,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,HIGH_CTBS Grade 6 Computation Posttest,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 6 Computation Gain,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 6 Concept Posttest,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 6 Concept Gain,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 6 Application Posttest,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 6 Application Gain,NA,NA,NA,NA,NA,NA
40642440,Loomer (1962) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,High_ITBS - Composite Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336763,Loomer (1962) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,HIGH_ITBS Grade 5 Hom High Vs Het Bright,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336762,Loomer (1962) 1_3,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,High_ITBS Grade 6 Homogeneous High Vs Heterogeneous Bright,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336761,Loomer (1962) 1_4,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,LOW_ITBS Grade 4 Hom Low v Het Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336760,Loomer (1962) 1_5,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,LOW_ITBS Grade 5 Hom Low V Het Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336759,Loomer (1962) 1_6,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ITBS Grade 6 Hom Low V Het Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642453,Moorhouse (1964) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_CrossAge_Reading Gain-G4 (Regrouping reading only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336767,Moorhouse (1964) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_CrossAge_Reading Gain-Y5 (Regrouping reading only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336766,Moorhouse (1964) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_CrossAge_Reading Gain-Y6 (Regrouping reading only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642457,Moses (1965) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,HIGH_SAT Reading Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336770,Moses (1965) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,AVERAGE_SAT Reading Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336771,Moses (1965) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement - Setting or Streaming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642459,Nichols (1969),['Other outcome'],Secondary outcome(s),HIGH_Stanford Achievement Test (Word Meaning),['Other outcome'],Secondary outcome(s),HIGH_Stanford Achievement Test (Spelling),['Other outcome'],Secondary outcome(s),LOW_Stanford Achievement Test (Word Meaning),['Other outcome'],Secondary outcome(s),LOW_Stanford Achievement Test (Spelling),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Stanford (Word Reading)–Above+Below average combined ,['Writing and spelling primary outcome.'],Secondary outcome(s),ALL_Stanford (Spelling)–Above+Below average combined ,NA,NA,NA,NA,NA,NA
40397441,Platz (1965) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,HIGH_Science First Marking Above Average Grouped (1) Ungrouped (2),['Other outcome'],Secondary outcome(s),HIGH_Science Second Marking Above Average Grouped (1) Ungrouped (2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336779,Platz (1965) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,AVERAGE_Science First Marking Average Grouped (1) Ungrouped (2),['Other outcome'],Secondary outcome(s),AVERAGE_Science Second Marking Above Average Grouped (group1)  ungrouped (group2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336778,Platz (1965) 1_3,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,LOW_Science First Marking Below Average Grouped (1) Ungrouped (2),NA,Secondary outcome(s),LOW_Science Second Marking Below Average Grouped (1) Ungrouped (2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296664,Roy (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_SCHOOL LEVEL Setting or streaming - Mathematics (PTM13),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_SCHOOL LEVEL  English (PTE13),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642469,Russell (1946),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Gr6 Reading Regrouped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397373,Thacker (1987) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,HIGH_Sixth Grade Reading - HA - V1,['Other outcome'],Secondary outcome(s),HIGH_Sixth Grade Reading - HA - V1 - f test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336797,Thacker (1987) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,AVERAGE_Sixth Grade Reading - AA - V2,['Other outcome'],Secondary outcome(s),AVERAGE_Sixth Grade Reading - AA - V2 - f test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336796,Thacker (1987) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,LOW_Sixth Grade - LA - V3,['Other outcome'],Secondary outcome(s),LOW_Sixth Grade - LA - V3 - f test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642490,Zweibelson (1965),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ALL_Achievement Test (information),['Other outcome'],Secondary outcome(s),ALL_Achievement Test Understanding,['Other outcome'],Secondary outcome(s),ALL_Achievement Test (Skills),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
