id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
40134515,Downing (1977),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Individual Achievement Test (PIAT) Reading Comprehension,['Mathematics primary outcome'],Primary outcome,PIAT Math,['Other outcome'],Secondary outcome(s),PIAT Reading Recognition,['Writing and spelling primary outcome.'],Secondary outcome(s),PIAT Spelling,['Other outcome'],Secondary outcome(s),PIAT General Information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134521,Durlak (1977),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,AML,['Other outcome'],Secondary outcome(s),Teacher Referral Form,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134538,Eron (2002) 1_1,NA,Primary outcome,Aggression Scores,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Rank on ITBS/CAT: Level A – behave.interv.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090146,Eron (2002) 1_2,NA,Primary outcome,Agression Scores,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Rank on ITBS/CAT: Level B – behav.interv.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090145,Eron (2002) 1_3,NA,Primary outcome, Aggression Scores,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Rank on ITBS/CAT: Level C – behav.interv.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134415,Flay (2001),['Other outcome'],Secondary outcome(s),CTBS-combined (Nevada),['Other outcome'],Secondary outcome(s),SAT-3 Combined Achievement - Hawaii,['Other outcome'],Secondary outcome(s),CTBS Math (Nevada),['Other outcome'],Secondary outcome(s),CTBS-Reading (Nevada),['Other outcome'],Secondary outcome(s),SAT 3-Reading (Hawaii),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Overall ES - Reading (CTBS & SAT),['Mathematics primary outcome'],Secondary outcome(s),Overall Math ES (CTBS & SAT),['Other outcome'],Secondary outcome(s),SAT-3 (Math-Hawaii),['Other outcome'],Secondary outcome(s),CTBS-Science (Nevada),['Other outcome'],Secondary outcome(s),Overall ES - CTBS and SAT
40134384,Freiden (2005),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Freiden (2005) - GPA score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134560,Friedman (1977),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA social/science,['Other outcome'],Secondary outcome(s),GPA - minor subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134559,Friedman (1992),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,WRAT Arithmetic Test - Behaviour Intervention,['Other outcome'],Secondary outcome(s),School grades in Mathematics - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134561,Friesen (1984) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,New Developmental Reading Test (F-test) - Behaviour Intervention,['Other outcome'],Secondary outcome(s),New Developmental Reading Test  (unadjusted means and SD)- behaviour ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
