id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
47269843,Mevarech (1991) ML,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Post test Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269844,Mevarech (1993) ML,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Curriculum Unit Achievement ,NA,Primary outcome,Torrance test of Creative Thinking (Fluency),NA,Secondary outcome(s),Torrance Test of Creative Thinking (Originality),NA,Secondary outcome(s),Torrance Test of Creativity (Flexibility),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269847,Miles (2010) ML,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,STAR Math Post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43381440,Moore (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,BSCS Comprehensive Final Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43381441,Netburn (1972),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,The Water-Mix Experiments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683576,Nordin (1979),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683623,Okey (1974) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths or Science Researcher Developed Post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336776,Okey (1974) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths or Science Researcher Developed Posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336775,Okey (1974) 1_3,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths or Science Researcher Developed  Postest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336774,Okey (1974) 1_4,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths or science researcher developed posttest Teacher D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336773,Okey (1974) 1_5,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths or science researcher developed posttest teacher E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683577,Okey (1977),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Cognitive Achievement ,['Other outcome'],Secondary outcome(s),Class Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683529,Peterson (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Achievement Test 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683624,Saunders-Harris (1981) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Summative Test (SB),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336781,Saunders-Harris (1981) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Summative Test (SB),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269868,Slavin (1982) ML,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehensive Test of Basic Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683625,Slavin (1984) ML 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Active Control Comparison -Comprehensive Test of Basic Skills - Mathematics Computations and Concepts and Applications subscales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336784,Slavin (1984) ML 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehensive Test of Basic Skills - Mathematics subscales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683535,Stone (1974) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,CAT grade 7 Posttest Intervention v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336790,Stone (1974) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,CAT 8th Grade Posttest LAP v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43381445,Summerlin (1971),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Chemistry Test 1,['Other outcome'],Secondary outcome(s),Chemistry Test 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683583,Swanson (1977),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Remediation test of cognitive retention ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43381446,Swanson (1977) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Chemistry Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336791,Swanson (1977) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Chemistry Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683584,Tenenbaum (1982) ML 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Higher Mental Processes,['Other outcome'],Secondary outcome(s),Lower Mental Processes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336792,Tenenbaum (1982) ML 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Higher Mental Processes,['Other outcome'],Secondary outcome(s),Lower Mental Processes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269876,Tenenbaum (1986) ML,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths 9th Gr- ML vs control,['Science primary outcome'],Secondary outcome(s),Science-6th Gr-ML vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683539,Thomas (1972),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Algebra Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296695,Vignoles (2015),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,The Number Knowledge Test (NKT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683585,Wentling (1973),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Cognitive Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683643,Wyckoff (1974),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Anthropology Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683588,Yildiran (1977) 1_1,['Other outcome'],Secondary outcome(s),Math3-summarive test: ML vs control,['Other outcome'],Secondary outcome(s),Math4-summarive test: ML vs control,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths3+4,['Science primary outcome'],Secondary outcome(s),Bio1-summarive test: ML vs control,['Other outcome'],Secondary outcome(s),Bio2-summarive test: ML vs control,['Other outcome'],Secondary outcome(s),History_ ML vs control,NA,NA,NA,NA,NA,NA
57768748,Yildiran (1977) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Summative Algebra Examination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
