id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111444,Kux-Cox (1974),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"TOTAL, Cloze 2 ",['Other outcome'],Secondary outcome(s),"READING, Cloze 2",['Other outcome'],Secondary outcome(s),"VOCABULARY, Cloze 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111617,Lamb (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language ,['Other outcome'],Secondary outcome(s),Reading comprehension - oral language ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111499,Lamb (1986),NA,Secondary outcome(s),Oral Language (Group 1 vs 2) Means/SDs,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulory (Group 1 vs 4) ,NA,Secondary outcome(s),Concept about print (group 1 vs 4) posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111674,Leung (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Expressive Vocabulary Test (EVT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111380,Li (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language ,['Other outcome'],Secondary outcome(s),Reading strategy awareness - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111445,Lieberman (1965),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading achievement test score-oral language,['Other outcome'],Secondary outcome(s),Concept achievement test score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111652,Lonigan (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT ,['Other outcome'],Secondary outcome(s),EOWPVT,['Other outcome'],Secondary outcome(s),ITPA-VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111651,Lonigan (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Listening comprehension - oral language ,['Other outcome'],Secondary outcome(s),Listening comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111381,Loranger (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Section of the California Achievement Test (CAT) score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111382,Lovett (1996),['Other outcome'],Secondary outcome(s),Academic self-help skills(other measures_TT content) test score-oral language,['Other outcome'],Secondary outcome(s),"Content comprehension (Fact, inference TT texts)-oral language","['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Content comprehension (Semantic mapping Maps TT texts)-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111508,Lucas (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Receptive vocabulary - oral language,NA,Primary outcome,Sight word recognition - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111683,Mason (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"Language ability, print concept knowledge, and letter knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269837,Mastropieri (1985) OL 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Recall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269838,Mastropieri (1985) OL 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",,Recall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111684,Mautte (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TERA (Post test only E1 vs E2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296641,Maxwell (2015),['Other outcome'],Secondary outcome(s),Raven's Progressive Matrices Test (raw scores post-test only),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Raven's Matrices (pre-test adjusted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269840,McCallum (2011) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111446,McKeown (1983),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Story Recall,['Other outcome'],Secondary outcome(s),Story Questions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111447,McKeown (1985),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Story Comprehension Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111387,McKeown (2009)  OL 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294925,McKeown (2009)  OL 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111448,Medo (1993),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111389,Miranda (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TALE (Main Idea) - LD vs LD Control (Post test only),['Other outcome'],Secondary outcome(s),TALE (Recall) - LD vs LD Control (Post test means/SDs),['Other outcome'],Secondary outcome(s),TALE (Cloze) - LD vs LD Control (Post test means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111653,Morrow (1984) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Traditional Questions (A) ,['Other outcome'],Secondary outcome(s),Traditional Questions (B),['Other outcome'],Secondary outcome(s),Story Structure Questions (B),['Other outcome'],Secondary outcome(s),Story Structure Questions (A),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111675,Morrow (1985) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294932,Morrow (1985) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension tests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111676,Morrow (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,G1 & C: Total Comment And Questions (Different-Book Group and Control Group),['Other outcome'],Secondary outcome(s),G2 & C: Total Comments and Questions  (Repeated-Book Group and Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111549,Morrow (1989),NA,Secondary outcome(s),Questions (post test only),NA,Secondary outcome(s),Comments (post test Means/SDs),NA,Secondary outcome(s),Meanings (post test means/SDs),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Total responses,NA,Secondary outcome(s),Structure (post test means/SDs),NA,Secondary outcome(s),Print (post test means/SDs),NA,Secondary outcome(s),Illustrations (post test means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111291,Morrow (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,The California Achievement Test (School readiness) - Story Book reading,['Other outcome'],Secondary outcome(s),The search test (school readiness) - storybook reading program,['Other outcome'],Secondary outcome(s),Recall comprehension test - Story reading (means),['Other outcome'],Secondary outcome(s),Recall comprehension test - Story reading (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111677,Morrow (1992),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Responses Focusing on Meaning score-oral language,['Other outcome'],Primary outcome,Total Comment and Question Responses score-oral language,['Other outcome'],Secondary outcome(s),Responses Focusing on Structure score-oral language,['Other outcome'],Secondary outcome(s),Responses Focusing on Print-oral language,['Other outcome'],Secondary outcome(s),Responses Focusing on illustrations score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111512,Murphy (2007) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Spoken Language Composite,['Other outcome'],Secondary outcome(s),Phonological Awareness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111449,Nash (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NARA II Comprehension test score-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111390,Nelson (2003) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Time for Kids Practice Test score(TFK 2_-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269857,Nelson (2007) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GMRT RC,['Other outcome'],Secondary outcome(s),GMRT Vocab,['Other outcome'],Secondary outcome(s),Low GMRT RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111450,Pace (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,California Achievement Test - Reading Comprehension Subtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111314,Phillips (1990) OL,['Other outcome'],Secondary outcome(s),Emergent Literacy Concepts Test (ELC) - Little Books program early literacy intervention,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MET-2 - Oral language,['Other outcome'],Secondary outcome(s),Circus-Listen to the Story Test (Circus) - Oral Language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111403,Piercy (1997),['Other outcome'],Secondary outcome(s),"CTBS -Level 15, Form B, Test 2","['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS ANOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111685,Pollard-Durodola (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-III,NA,Secondary outcome(s),EOWPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111452,Puhalla (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Questions(CQ) test score-oral language,['Other outcome'],Secondary outcome(s),Utterance Count(UC) test score-oral language,['Other outcome'],Primary outcome,Storybook Vocabulary Assessment(SVA) test score-oral language,['Other outcome'],Secondary outcome(s),Story Grammar(SG)test score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111518,Rainey (1968),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,The Peabody Picture Vocabulary Test score-oral language,['Other outcome'],Secondary outcome(s),The Illinois Test of Psycholinguistic Abilities score-oral language,['Other outcome'],Secondary outcome(s),Stanford-Binet Intelligence Scale score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111657,Reutzel (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ITBS comprehension subtest,['Other outcome'],Secondary outcome(s),ITBS Vocabulary Subtest,['Other outcome'],Secondary outcome(s),ITBW Word Analysis subtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111589,Reznitskaya (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Test 2 (ANOVA),['Other outcome'],Secondary outcome(s),Test 3 (ANOVA),['Other outcome'],Secondary outcome(s),Test 4 (ANOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111590,Reznitskya (2002),['Other outcome'],Secondary outcome(s),Logical reasoning - metacognition,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Logical reasoning - metacognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111618,Ribowsky (1985),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Linguistic Literacy - TOLD-P (Means/SDs-Post test only),NA,Secondary outcome(s),BHKT-Post test only,NA,Secondary outcome(s),MAT-Letter Recognition (post test only),NA,Secondary outcome(s),MAT-Grapheme/phoneme (Post test only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294950,Roskos (2011) OL,['Toolkit primary outcome'],Primary outcome,PPVT standard scores,['Other outcome'],Secondary outcome(s),CBDM - Receptive Gain Score,['Other outcome'],Secondary outcome(s),CBDM -Expressive Gain Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111591,Sable (1987),['Other outcome'],Secondary outcome(s),Cloze Test-Story 2 (ANOVA),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Cloze Test-Story 1 (ANOVA),['Other outcome'],Secondary outcome(s),Open ended Story 1 (ANOVA),['Other outcome'],Secondary outcome(s),Open ended Story 2 (ANOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111594,Saunders (1999),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Factual comprehension - oral language,['Other outcome'],Secondary outcome(s),Interpretive comprehension - oral language ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111519,Schetz (1994),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Preschool Language Assessment Instrument (PLAI) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111520,Sénéchal (1997),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Receptive vocabulary test score-oral language,['Other outcome'],Primary outcome,Expressive vocabulary test score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296675,Sibieta (2016),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Composite Language Score 30-weeks,['Other outcome'],Secondary outcome(s),Composite Language Score 20-weeks,['Writing and spelling primary outcome.'],Secondary outcome(s),Composite Word-level literacy score 30-weeks,['Other outcome'],Secondary outcome(s),Composite Word-level literacy score 20-weeks,['Other outcome'],Secondary outcome(s),CELF Vocab 30 weeks,['Other outcome'],SES/FSM outcome,FSM Composite Language Score 30-weeks,['Other outcome'],SES/FSM outcome,FSM Composite Language Score 20-weeks,['Other outcome'],SES/FSM outcome,FSM Composite Word-level literacy score 30-weeks,['Other outcome'],SES/FSM outcome,FSM Composite Word-level literacy score 20-weeks,['Other outcome'],Secondary outcome(s),APT Information 30 week,['Other outcome'],Secondary outcome(s),APT grammar 30-week,['Other outcome'],Secondary outcome(s),Listening Comprehension YARC 30 week,['Other outcome'],Secondary outcome(s),CELF Vocab 20-week,['Other outcome'],Secondary outcome(s),APT Information 20-week,['Other outcome'],Secondary outcome(s),API Grammar 20-Week,['Other outcome'],Secondary outcome(s),Listening Comprehension (YARC) 20-weel
38111672,Simon (2003),['Other outcome'],Primary outcome,PPVT,"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111621,Stauffer (1966),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT - Paragraph Meaning,NA,Primary outcome,SAT-Word Reading,NA,Secondary outcome(s),SAT-Vocabulory,NA,Secondary outcome(s),SAT- Spelling,NA,Secondary outcome(s),SAT - Word Study Skills,NA,Secondary outcome(s),SAT - Arithmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111620,Stauffer (1976),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Stanford Achievement Test score(word reading),['Other outcome'],Secondary outcome(s),Stanford Achievement Test score (Paragraph Meaning),['Other outcome'],Secondary outcome(s),Stanford Achievement Test score (Word Study Skills),['Other outcome'],Secondary outcome(s),Stanford Achievement Test (combined),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296685,Styles (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks,['Other outcome'],Primary outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks+,['Other outcome'],SES/FSM outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks (FSM),['Other outcome'],Secondary outcome(s),Y7 Sentence completion - smgrouptuit/extschooltime Chbooks,['Other outcome'],Secondary outcome(s),Y7 Sentence completion - smgrouptuit/extschooltime Chbooks+,['Other outcome'],Secondary outcome(s),Y7 Passage comprehension - smgrouptuit/extschooltime Chbooks,['Other outcome'],Secondary outcome(s),Y7 Passage comprehension - smgrouptuit/extschooltime Chbooks+,['Other outcome'],SES/FSM outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks+ (FSM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296686,Styles (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT Reading,['Other outcome'],SES/FSM outcome,NGRT Reading FSM,['Other outcome'],Secondary outcome(s),NGRT Passage,['Other outcome'],Secondary outcome(s),NGRT Sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671586,Styles (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT - Reading Score,['Other outcome'],Secondary outcome(s),Sentence Completion Score,['Other outcome'],SES/FSM outcome,NGRT (FSM) - Reading Score ,['Other outcome'],Secondary outcome(s),NGRT - Passage Comprehensive Score,['Other outcome'],Secondary outcome(s),CELF - Recalling Sentences,['Other outcome'],Secondary outcome(s),CELF - Recalling Sentences FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111625,Taylor (1986),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Metropolitan Readiness Test (1976) test score-oral language,['Other outcome'],Secondary outcome(s),WLA total score-oral langauge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
