id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111679,Bochna (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening comprehension - oral language,['Other outcome'],Secondary outcome(s),Listening comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111600,Bond (1967) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word reading,['Other outcome'],Secondary outcome(s),Paragraph Meaning,['Other outcome'],Secondary outcome(s),Word Study Skills,['Other outcome'],Secondary outcome(s),Vocabulary,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111474,Bonds (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,California Achievement Test(Reading comprehension)-Success approach-Success in Kindergarten Reading and Writing (1980),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111475,Bortnem (2005),['Other outcome'],Secondary outcome(s),The Peabody Picture Vocabulary Test-III (PPVT) ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,The Expressive Vocabulary Test (EVT) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307487,Bos (1989),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Test (Conceptual items) - Reading strategies,['Other outcome'],Secondary outcome(s),Comprehension Test (Vocabulary items) - Reading strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111431,Bos (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language,['Other outcome'],Secondary outcome(s),Reading vocabulary - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111432,Bos (1992) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary accuracy - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111680,Box (1993),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESI-Print Concepts (ANCOVA),['Other outcome'],Secondary outcome(s),ESI-Part C/Story Structure (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111538,Brabham (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language (first grade),['Other outcome'],Secondary outcome(s),Vocabulary performance - oral language (first grade),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111333,Brady (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Comprehension Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
