id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40307530,Somers (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehnsion,['Other outcome'],Secondary outcome(s),Vocabulary overall impact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307353,Souvignier (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DTD Reading Comprehension (posttest only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223972,Stevens (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Main Idea- training content-Strategy training,['Other outcome'],Secondary outcome(s),Main Idea - generalisation; Strategy training (not classification),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307435,Stevens (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Main Idea Scores (HLM fitted means),NA,Secondary outcome(s),Inference question scores (CL vs DI),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307355,Takala (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Hierarchy Test 6th grade (spring/autumn combined-posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269875,Taylor (1984) RC,['Writing and spelling primary outcome.'],Primary outcome,Writing Post test scores (Experimental vs Conventional),['Other outcome'],Secondary outcome(s),Writing Post test scores (Experimental vs Control),['Other outcome'],Secondary outcome(s),Recall - Passage A (half of students),['Other outcome'],Secondary outcome(s),Recall - Passage B (the other half of students),['Other outcome'],Secondary outcome(s),Recall 2- both A & B groups: Experimental vs control,['Other outcome'],Primary outcome,Short answer1: A group:  exp. vs convent,['Other outcome'],Primary outcome,Short answer1: Group B; exper. vs conv.,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Short answer1: Group A+B; exper. vs conv.,['Other outcome'],Secondary outcome(s),Recall - both A & B groups: Experimental vs conventional,['Other outcome'],Secondary outcome(s),Recall 2 - Passage A (half of students),['Other outcome'],Secondary outcome(s),Recall 2 - Passage B (other half of students),['Other outcome'],Secondary outcome(s),Short answer 2: group A,['Other outcome'],Secondary outcome(s),Short answ 2_ group B,['Other outcome'],Secondary outcome(s),Short answer 2: Group A+ B
40307356,Taylor (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Text Summary Scores,['Other outcome'],Secondary outcome(s),Short Answer Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307412,Thames (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Reconciled v Control,['Other outcome'],Secondary outcome(s),Vocabulary Reconciled v Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307533,Therrien (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS oral reading fluency test,['Other outcome'],Secondary outcome(s),Reading Standard Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307449,Tomesen (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension Scale  - Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),Analysis of Reading Comprehension  - Reading Comprehension Strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307357,Tregaskes (1989),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Cloze Test - Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),Error Detection Test - Reading Comprehension Strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223921,Unrau (1991),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Argument Assessment (t-test) grp 1 vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307358,Uttero (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Comprehension ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
