id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
43099344,Merebah (1987),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science Achievement - Cooperative Learning - TGTt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099648,Mesch (1986),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic achievement school assessment group work and rewards v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099345,Mesch (1988),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Social Studies Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099717,Mevarech (1985) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Test on Computation (grp 2 vs 4),['Other outcome'],Secondary outcome(s),Mathematics Test on Comprehension (grp 2 vs 4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325692,Mevarech (1985) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehension,['Other outcome'],Secondary outcome(s),Computation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099482,Mevarech (1991) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths Posttest Cooperative v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325693,Mevarech (1991) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269842,Mevarech (1991) CL,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099718,Mevarech (1993),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Achievement - Collab.Learn. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269845,Mevarech (1993) CL,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Computer Adaptive Test ,['Other outcome'],Secondary outcome(s),Arithmetic Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269846,Mevarech (1994) CL,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41425842,Miller (2017),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT III - Full sample,['Other outcome'],Secondary outcome(s),WRMT III - LA participants,['Other outcome'],SES/FSM outcome,WRMT III - FSM participants,['Other outcome'],Secondary outcome(s),KS1 Phonics - Full sample,['Other outcome'],Secondary outcome(s),KS1 Phonics - LA participants,['Other outcome'],SES/FSM outcome,KS1 Phonics - FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099458,Nichols (1996),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Achievement (Geometry) - Collaborative learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269859,Noble (1967) CL,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Trigonometry test (Total score)- Collaborative learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
